liga,url,Home_team,Away_team,id,fecha,1_Average,X_Average,2_Average,1_Highest,X_Highest,2_Highest,H_Average,A_Average,H_Highest,A_Highest,1X_Average,12_Average,X2_Average,1X_Highest,12_Highest,X2_Highest
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-dallas-mavericks-dUhxW4j2/,Boston Celtics,Dallas Mavericks,18 Jun 2024_NBA_Boston Celtics_Dallas Mavericks,18 Jun 2024,1.47,15.00,2.83,1.50,15.00,2.90,1.36,3.29,1.39,3.31,1.37,1.03,2.60,1.37,1.03,2.60
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-boston-celtics-6iOfHeYI/,Dallas Mavericks,Boston Celtics,15 Jun 2024_NBA_Dallas Mavericks_Boston Celtics,15 Jun 2024,1.83,15.00,2.10,1.83,15.00,2.10,1.99,1.85,2.00,1.89,1.69,1.04,1.87,1.69,1.04,1.87
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-boston-celtics-YwQnJH36/,Dallas Mavericks,Boston Celtics,13 Jun 2024_NBA_Dallas Mavericks_Boston Celtics,13 Jun 2024,1.54,15.50,2.55,1.57,16.00,2.60,1.69,2.21,1.72,2.25,1.46,1.03,2.40,1.46,1.03,2.40
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-dallas-mavericks-xCWwLwZg/,Boston Celtics,Dallas Mavericks,10 Jun 2024_NBA_Boston Celtics_Dallas Mavericks,10 Jun 2024,1.47,15.50,2.83,1.50,16.00,2.90,,,,,1.37,1.03,2.60,1.37,1.03,2.60
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/boston-celtics-dallas-mavericks-UoTVMa4s/,Boston Celtics,Dallas Mavericks,07 Jun 2024_NBA_Boston Celtics_Dallas Mavericks,07 Jun 2024,1.49,15.50,2.73,1.50,16.00,2.85,1.41,2.99,1.43,3.05,1.40,1.03,2.60,1.40,1.03,2.60
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-2V13yfaE/,Minnesota Timberwolves,Dallas Mavericks,31 May 2024_NBA_Minnesota Timberwolves_Dallas Mavericks,31 May 2024,1.56,15.50,2.47,1.57,16.00,2.55,,,,,1.48,1.03,2.40,1.48,1.03,2.40
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-minnesota-timberwolves-tQzVri13/,Dallas Mavericks,Minnesota Timberwolves,29 May 2024_NBA_Dallas Mavericks_Minnesota Timberwolves,29 May 2024,1.84,15.00,2.01,1.87,15.00,2.05,1.82,2.02,1.85,2.05,1.74,1.04,1.87,1.74,1.04,1.87
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-boston-celtics-jwigCJQO/,Indiana Pacers,Boston Celtics,28 May 2024_NBA_Indiana Pacers_Boston Celtics,28 May 2024,2.58,18.00,1.54,2.60,19.00,1.60,3.39,1.34,3.40,1.35,2.25,1.03,1.48,2.25,1.03,1.48
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/dallas-mavericks-minnesota-timberwolves-QHhrLm9d/,Dallas Mavericks,Minnesota Timberwolves,27 May 2024_NBA_Dallas Mavericks_Minnesota Timberwolves,27 May 2024,1.97,15.00,1.89,2.05,15.00,1.91,1.83,2.00,1.85,2.02,1.87,1.04,1.74,1.87,1.04,1.74
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/indiana-pacers-boston-celtics-IPhoEudC/,Indiana Pacers,Boston Celtics,26 May 2024_NBA_Indiana Pacers_Boston Celtics,26 May 2024,2.57,16.75,1.55,2.69,17.50,1.56,3.32,1.35,3.40,1.38,2.34,1.03,1.44,2.34,1.03,1.44
NBA,https://www.oddsportal.com/basketball/usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-IikzN9vp/,Minnesota Timberwolves,Dallas Mavericks,25 May 2024_NBA_Minnesota Timberwolves_Dallas Mavericks,25 May 2024,1.44,17.50,2.94,1.46,19.00,3.02,1.40,3.04,1.41,3.10,1.36,1.03,2.60,1.36,1.03,2.60
