,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,,0.1862,0.2089,0.2032,0.2083,0.1838,0.1911,0.187,0.1871,0.181,0.1699,0.1695,0.1643,0.1562,0.1601,0.1513,0.1562,0.1455,0.1432,0.1559,0.157,0.147,0.1523,0.1473,0.1482,0.1433,0.1377,0.1624,0.1688,0.1837
1,0.1862,0.1862,0.1862,0.2,0.1977,0.2021,0.1844,0.1899,0.1868,0.1869,0.1822,0.1737,0.1734,0.1694,0.1632,0.1664,0.1599,0.1639,0.1562,0.1549,0.1646,0.1658,0.1597,0.164,0.162,0.1637,0.1629,0.1631,0.1769,0.1813,0.1859
2,0.2089,0.2089,0.2,0.2089,0.2056,0.2085,0.1928,0.1973,0.1943,0.1942,0.1899,0.1823,0.182,0.1786,0.1733,0.1762,0.1708,0.1747,0.1683,0.1674,0.1763,0.1779,0.1734,0.1778,0.1773,0.1796,0.1805,0.1826,0.1954,0.2008,0.2066
3,0.2032,0.2032,0.1977,0.2056,0.2032,0.206,0.1921,0.1961,0.1935,0.1934,0.1895,0.1826,0.1824,0.1793,0.1745,0.1772,0.1723,0.1758,0.1701,0.1694,0.1773,0.1789,0.175,0.1789,0.1784,0.1805,0.1813,0.1831,0.1935,0.1977,0.2018
4,0.2083,0.2083,0.2021,0.2085,0.206,0.2083,0.1955,0.1991,0.1967,0.1965,0.1929,0.1866,0.1863,0.1835,0.1792,0.1817,0.1773,0.1807,0.1756,0.1751,0.1825,0.184,0.1808,0.1845,0.1844,0.1866,0.1877,0.1897,0.1991,0.203,0.2069
5,0.1838,0.1838,0.1844,0.1928,0.1921,0.1955,0.1838,0.1875,0.1855,0.1856,0.1823,0.1762,0.176,0.1732,0.1689,0.1712,0.1668,0.1697,0.1646,0.1639,0.1706,0.1716,0.168,0.171,0.1702,0.1716,0.1716,0.1724,0.1798,0.1819,0.1838
6,0.1911,0.1911,0.1899,0.1973,0.1961,0.1991,0.1875,0.1911,0.189,0.189,0.1857,0.1798,0.1796,0.1769,0.1728,0.175,0.1708,0.1738,0.1689,0.1683,0.1749,0.1761,0.1728,0.1759,0.1754,0.1769,0.1773,0.1784,0.186,0.1884,0.1907
7,0.187,0.187,0.1868,0.1943,0.1935,0.1967,0.1855,0.189,0.187,0.1871,0.1839,0.1781,0.1779,0.1752,0.1712,0.1734,0.1692,0.1721,0.1673,0.1666,0.1731,0.1742,0.1708,0.1738,0.1732,0.1746,0.1748,0.1757,0.1828,0.1849,0.1868
8,0.1871,0.1871,0.1869,0.1942,0.1934,0.1965,0.1856,0.189,0.1871,0.1871,0.184,0.1784,0.1782,0.1756,0.1716,0.1738,0.1698,0.1726,0.1679,0.1673,0.1736,0.1746,0.1714,0.1743,0.1737,0.1751,0.1754,0.1763,0.183,0.1851,0.187
9,0.181,0.181,0.1822,0.1899,0.1895,0.1929,0.1823,0.1857,0.1839,0.184,0.181,0.1754,0.1752,0.1727,0.1687,0.1708,0.1668,0.1695,0.1648,0.1642,0.1702,0.1712,0.1679,0.1706,0.1698,0.171,0.1711,0.1717,0.178,0.1797,0.1811
10,0.1699,0.1699,0.1737,0.1823,0.1826,0.1866,0.1762,0.1798,0.1781,0.1784,0.1754,0.1699,0.1697,0.1671,0.1631,0.1652,0.161,0.1636,0.1588,0.158,0.1639,0.1646,0.1611,0.1635,0.1624,0.1633,0.1629,0.163,0.1687,0.1698,0.1705
11,0.1695,0.1695,0.1734,0.182,0.1824,0.1863,0.176,0.1796,0.1779,0.1782,0.1752,0.1697,0.1695,0.1669,0.1629,0.165,0.1608,0.1634,0.1586,0.1578,0.1637,0.1644,0.1608,0.1633,0.1622,0.1631,0.1626,0.1627,0.1684,0.1694,0.1701
12,0.1643,0.1643,0.1694,0.1786,0.1793,0.1835,0.1732,0.1769,0.1752,0.1756,0.1727,0.1671,0.1669,0.1643,0.1603,0.1623,0.1581,0.1605,0.1557,0.1549,0.1607,0.1613,0.1576,0.1599,0.1586,0.1594,0.1587,0.1585,0.164,0.1648,0.1652
13,0.1562,0.1562,0.1632,0.1733,0.1745,0.1792,0.1689,0.1728,0.1712,0.1716,0.1687,0.1631,0.1629,0.1603,0.1562,0.1581,0.1538,0.1562,0.1512,0.1503,0.1561,0.1565,0.1526,0.1547,0.1532,0.1537,0.1527,0.1521,0.1572,0.1575,0.1574
14,0.1601,0.1601,0.1664,0.1762,0.1772,0.1817,0.1712,0.175,0.1734,0.1738,0.1708,0.1652,0.165,0.1623,0.1581,0.1601,0.1558,0.1583,0.1533,0.1524,0.1583,0.1588,0.1549,0.1572,0.1557,0.1564,0.1555,0.1551,0.1605,0.1611,0.1612
15,0.1513,0.1513,0.1599,0.1708,0.1723,0.1773,0.1668,0.1708,0.1692,0.1698,0.1668,0.161,0.1608,0.1581,0.1538,0.1558,0.1513,0.1537,0.1485,0.1475,0.1534,0.1537,0.1495,0.1517,0.1499,0.1503,0.1491,0.1482,0.1532,0.1533,0.1529
