,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89,64.89
2,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05,65.05
3,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49
4,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67,65.67
5,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38,65.38
6,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06,65.06
7,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49,65.49
8,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48,65.48
9,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25,65.25
10,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92,65.92
11,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93,65.93
12,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24,66.24
13,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43,66.43
14,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52,66.52
15,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95,66.95
16,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83,66.83
17,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73,66.73
18,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98,66.98
19,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03,67.03
20,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67,67.67
21,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77,67.77
22,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89,67.89
23,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74,68.74
24,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21,69.21
25,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31,69.31
26,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75,69.75
27,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61,68.61
28,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49,68.49
29,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
