,CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,GAME_ID,HOME_FLAG,AWAY_FLAG,HOME_WIN_PCTG,AWAY_WIN_PCTG,TOTAL_WIN_PCTG,ROLLING_SCORING_MARGIN,ROLLING_OE,NUM_REST_DAYS
0,Atlanta,Hawks,1610612737,1,0,1,0,0,0,0,7,1,5,240,0,53,98,0.541,15,37,0.405,11,14,0.786,14,34,55,34,18,4,15,6,132,55.0,132.0,0,0.6541353383458647,9.0,0022400928,1,0,0.5,0.46875,0.47692307692307695,5.666666666666667,0.6258030440002966,2.0
1,OPPONENTS,76ers,1610612755,0,1,0,0,0,1,1,12,1,5,240,0,46,91,0.505,16,42,0.381,15,20,0.75,6,25,43,29,15,8,11,3,123,43.0,123.0,0,0.6,-9.0,0022400928,0,1,0.36363636363636365,0.3225806451612903,0.34375,-7.666666666666667,0.5722516242846694,1.0
2,Atlanta,Hawks,1610612737,1,0,1,0,0,0,1,8,1,5,240,0,45,97,0.464,10,34,0.294,20,21,0.952,16,32,56,23,22,10,17,10,120,56.0,120.0,0,0.5619834710743802,2.0,0022400914,1,0,0.4838709677419355,0.46875,0.46875,0.6666666666666666,0.6028196596134036,2.0
3,OPPONENTS,Pacers,1610612754,0,1,0,0,0,1,1,13,1,5,240,0,41,94,0.436,10,33,0.303,26,30,0.867,15,26,54,29,21,12,16,6,118,54.0,118.0,0,0.5645161290322581,-2.0,0022400914,0,1,0.6785714285714286,0.46875,0.5645161290322581,1.6666666666666667,0.590176594831481,2.0
4,Atlanta,Hawks,1610612737,1,0,1,0,0,0,1,8,1,5,240,0,50,94,0.532,10,30,0.333,14,18,0.778,11,32,51,32,16,5,9,4,124,51.0,124.0,0,0.6612903225806451,6.0,0022400899,1,0,0.4666666666666667,0.46875,0.4603174603174603,0.6666666666666666,0.6480499754568272,2.0
5,OPPONENTS,Pacers,1610612754,0,1,0,0,0,1,0,3,1,5,240,0,44,91,0.484,14,39,0.359,16,17,0.941,10,32,45,27,18,5,11,5,118,45.0,118.0,0,0.5966386554621849,-6.0,0022400899,0,1,0.6785714285714286,0.4838709677419355,0.5737704918032787,7.333333333333333,0.615546218487395,2.0
6,Atlanta,Hawks,1610612737,0,1,0,1,0,0,1,3,1,5,240,0,46,101,0.455,16,41,0.39,13,17,0.765,11,36,50,33,21,10,12,6,121,50.0,121.0,0,0.5851851851851851,-6.0,0022400884,1,0,0.4482758620689655,0.46875,0.45161290322580644,-6.666666666666667,0.6157919109406981,1.0
7,OPPONENTS,Bucks,1610612749,1,0,0,0,1,0,1,10,1,5,240,0,49,96,0.51,11,37,0.297,18,23,0.783,9,42,61,27,13,8,15,1,127,61.0,127.0,0,0.5891472868217055,6.0,0022400884,0,1,0.6896551724137931,0.4666666666666667,0.5833333333333334,10.0,0.5997437734783836,3.0
8,Memphis,Grizzlies,1610612763,0,1,0,1,0,0,1,13,1,5,240,0,47,93,0.505,13,33,0.394,23,25,0.92,17,26,56,36,16,7,20,3,130,56.0,130.0,0,0.6287878787878788,-2.0,0022400878,1,0,0.7096774193548387,0.5333333333333333,0.6229508196721312,-1.6666666666666667,0.6166388292372544,2.0
9,OPPONENTS,Hawks,1610612737,1,0,0,0,1,0,0,9,1,5,240,0,55,96,0.573,13,28,0.464,9,17,0.529,14,18,41,35,24,12,12,7,132,41.0,132.0,0,0.6976744186046512,2.0,0022400878,0,1,0.4642857142857143,0.46875,0.45901639344262296,-12.0,0.6184702955399867,3.0
10,Atlanta,Hawks,1610612737,0,1,0,1,0,0,0,5,1,5,240,0,43,88,0.489,15,36,0.417,18,23,0.783,10,36,51,27,14,8,19,5,119,51.0,119.0,0,0.5645161290322581,-16.0,0022400851,1,0,0.4642857142857143,0.45161290322580644,0.45,-8.666666666666666,0.5744367461690374,2.0
11,OPPONENTS,Thunder,1610612760,1,0,0,0,1,0,1,8,1,5,240,0,51,101,0.505,23,50,0.46,10,12,0.833,9,34,51,37,18,10,12,1,135,51.0,135.0,0,0.624113475177305,16.0,0022400851,0,1,0.8620689655172413,0.7586206896551724,0.8135593220338984,7.0,0.6074022318387627,2.0
12,Miami,Heat,1610612748,1,0,1,0,0,0,3,5,1,5,240,0,45,76,0.592,23,42,0.548,18,22,0.818,8,27,40,39,13,10,17,2,131,40.0,131.0,0,0.6774193548387096,22.0,0022400841,1,0,0.5416666666666666,0.40625,0.47368421052631576,1.0,0.5547112378503415,2.0
13,OPPONENTS,Hawks,1610612737,0,1,0,0,0,1,2,6,1,5,240,0,41,81,0.506,12,32,0.375,15,19,0.789,9,24,39,29,15,6,17,3,109,39.0,109.0,0,0.5932203389830508,-22.0,0022400841,0,1,0.48148148148148145,0.45161290322580644,0.4576271186440678,-5.0,0.5878150907551839,2.0
14,Atlanta,Hawks,1610612737,1,0,1,0,0,0,2,6,1,5,240,0,40,88,0.455,9,35,0.257,9,12,0.75,13,37,56,29,22,13,18,2,98,56.0,98.0,0,0.5655737704918032,12.0,0022400825,1,0,0.48148148148148145,0.4666666666666667,0.46551724137931033,0.3333333333333333,0.5641162756959369,1.0
15,OPPONENTS,Heat,1610612748,0,1,0,0,0,1,1,9,1,5,240,0,27,84,0.321,7,40,0.175,25,27,0.926,14,31,54,15,9,8,18,4,86,54.0,86.0,0,0.4077669902912621,-12.0,0022400825,0,1,0.5217391304347826,0.40625,0.4642857142857143,-3.3333333333333335,0.5185599586512314,1.0
16,Atlanta,Hawks,1610612737,0,1,0,1,0,0,0,12,1,5,240,0,48,96,0.5,21,45,0.467,26,36,0.722,10,30,52,30,21,8,13,6,143,52.0,143.0,0,0.6046511627906976,-5.0,0022400814,1,0,0.46153846153846156,0.4666666666666667,0.45614035087719296,-4.0,0.5963124062527232,3.0
17,OPPONENTS,Pistons,1610612765,1,0,0,0,1,0,2,14,1,5,240,0,55,93,0.591,20,40,0.5,18,25,0.72,5,32,51,39,23,9,19,5,148,51.0,148.0,0,0.6438356164383562,5.0,0022400814,0,1,0.5185185185185185,0.5666666666666667,0.543859649122807,12.666666666666666,0.6327399377242952,2.0
18,Atlanta,Hawks,1610612737,0,1,0,1,0,0,0,12,1,5,240,0,39,100,0.39,11,35,0.314,19,28,0.679,16,35,63,20,25,7,9,4,108,63.0,108.0,0,0.5221238938053098,-6.0,0022400790,1,0,0.48,0.4666666666666667,0.4642857142857143,-0.3333333333333333,0.5856452095390149,8.0
19,OPPONENTS,Magic,1610612753,1,0,0,0,1,0,1,10,1,5,240,0,41,85,0.482,6,25,0.24,26,38,0.684,11,42,63,15,22,6,8,7,114,63.0,114.0,0,0.5773195876288659,6.0,0022400790,0,1,0.6296296296296297,0.36666666666666664,0.49122807017543857,5.333333333333333,0.5484049185080114,8.0
20,New York,Knicks,1610612752,1,0,1,0,0,0,1,11,1,5,265,0,54,94,0.574,11,26,0.423,30,37,0.811,8,31,50,28,23,6,18,5,149,50.0,149.0,0,0.6212121212121212,1.0,0022400773,1,0,0.6551724137931034,0.68,0.6666666666666666,-4.333333333333333,0.5942170552933156,1.0
21,OPPONENTS,Hawks,1610612737,0,1,0,0,0,1,2,16,1,5,265,0,55,110,0.5,14,38,0.368,24,35,0.686,19,28,63,43,29,12,14,10,148,63.0,148.0,0,0.6621621621621622,-1.0,0022400773,0,1,0.5,0.4666666666666667,0.4727272727272727,6.333333333333333,0.6135503836233763,2.0
