,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,,0.2553,0.4731,0.4312,0.4338,0.3715,0.3783,0.3589,0.3275,0.3282,0.325,0.3204,0.3123,0.2601,0.2665,0.2531,0.2537,0.246,0.2417,0.2609,0.2688,0.2528,0.2563,0.2528,0.2373,0.2095,0.1908,0.2032,0.1975,0.2141
1,0.1874,0.1874,0.2553,0.4779,0.4264,0.4273,0.3659,0.3689,0.3512,0.3212,0.3184,0.3141,0.3113,0.3035,0.2589,0.2644,0.2531,0.256,0.2507,0.2485,0.2645,0.2679,0.2566,0.2592,0.2563,0.2482,0.2328,0.2261,0.2359,0.2388,0.249
2,0.2005,0.2005,0.2297,0.4731,0.4163,0.4151,0.4035,0.4072,0.3882,0.3551,0.3496,0.3459,0.3408,0.3365,0.3301,0.3344,0.325,0.3291,0.326,0.3274,0.3441,0.3508,0.347,0.3546,0.3597,0.3641,0.3623,0.3716,0.397,0.4169,0.4495
3,0.2102,0.2102,0.2332,0.4552,0.4312,0.414,0.3978,0.4065,0.3868,0.3555,0.3485,0.3396,0.34,0.3365,0.3312,0.335,0.3266,0.3289,0.3245,0.3292,0.3456,0.3505,0.3463,0.3534,0.357,0.3594,0.3572,0.364,0.3833,0.3968,0.4172
4,0.1952,0.1952,0.2151,0.4258,0.4204,0.4338,0.406,0.4098,0.3944,0.3707,0.3655,0.3551,0.3558,0.3527,0.3461,0.3498,0.3418,0.3442,0.34,0.345,0.3602,0.3645,0.3591,0.3668,0.3709,0.3728,0.372,0.3784,0.395,0.4065,0.4228
5,0.1601,0.1601,0.1906,0.3179,0.3332,0.3681,0.3715,0.3712,0.3548,0.3297,0.3244,0.3143,0.3162,0.3225,0.3147,0.3183,0.3134,0.3147,0.3107,0.3139,0.3271,0.3319,0.3242,0.3314,0.3328,0.3336,0.3312,0.3341,0.3469,0.3539,0.3645
6,0.1678,0.1678,0.1942,0.3069,0.3146,0.3563,0.3669,0.3783,0.356,0.342,0.3342,0.3247,0.327,0.3338,0.3258,0.3277,0.3222,0.3229,0.3182,0.3223,0.3356,0.34,0.3323,0.3399,0.3413,0.3418,0.3402,0.3421,0.3546,0.3621,0.3717
7,0.1665,0.1665,0.1893,0.2988,0.3093,0.3416,0.3556,0.3705,0.3589,0.3379,0.3314,0.3204,0.324,0.3299,0.3195,0.3192,0.3122,0.311,0.3071,0.3113,0.3243,0.3275,0.3192,0.3254,0.3266,0.3291,0.3269,0.33,0.3406,0.3465,0.354
8,0.1719,0.1719,0.1935,0.3013,0.3096,0.3232,0.3437,0.3439,0.3394,0.3275,0.3182,0.3072,0.3114,0.316,0.3061,0.3064,0.2984,0.2953,0.2918,0.2948,0.3077,0.308,0.2985,0.3049,0.3056,0.3069,0.3033,0.3055,0.3139,0.3185,0.3236
9,0.1785,0.1785,0.2028,0.31,0.3178,0.3236,0.3473,0.3489,0.3413,0.3327,0.3282,0.3114,0.3104,0.3124,0.3044,0.3005,0.2906,0.2985,0.2942,0.2977,0.31,0.3094,0.3002,0.3056,0.3053,0.3068,0.3047,0.3069,0.3151,0.3196,0.3248
