,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.0,0.0,1311.0,2104.0,2853.0,3522.0,3889.0,4177.0,4424.0,4687.0,4833.0,4915.0,4958.0,4948.0,4902.0,4820.0,4681.0,4486.0,4324.0,4176.0,3926.0,3640.0,3328.0,3037.0,2682.0,2369.0,1954.0,1523.0,1086.0,685.0,273.0
1,707.0,707.0,1311.0,2174.0,2990.0,3730.0,4157.0,4506.0,4798.0,5121.0,5336.0,5454.0,5545.0,5587.0,5604.0,5563.0,5475.0,5331.0,5206.0,5092.0,4887.0,4636.0,4367.0,4114.0,3792.0,3509.0,3137.0,2739.0,2329.0,1956.0,1564.0
2,1121.0,1121.0,1691.0,2104.0,2958.0,3738.0,4215.0,4600.0,4935.0,5306.0,5549.0,5701.0,5819.0,5880.0,5928.0,5923.0,5862.0,5753.0,5660.0,5573.0,5394.0,5172.0,4938.0,4710.0,4423.0,4165.0,3818.0,3449.0,3060.0,2714.0,2342.0
3,1500.0,1500.0,2035.0,2425.0,2853.0,3675.0,4202.0,4622.0,4985.0,5392.0,5667.0,5849.0,5998.0,6108.0,6186.0,6215.0,6192.0,6117.0,6052.0,5994.0,5856.0,5660.0,5445.0,5238.0,4977.0,4744.0,4433.0,4087.0,3734.0,3411.0,3075.0
4,1809.0,1809.0,2311.0,2684.0,3089.0,3522.0,4117.0,4584.0,4996.0,5441.0,5761.0,5979.0,6158.0,6306.0,6410.0,6475.0,6487.0,6440.0,6410.0,6370.0,6265.0,6104.0,5920.0,5739.0,5491.0,5283.0,4994.0,4669.0,4345.0,4040.0,3729.0
5,1978.0,1978.0,2453.0,2797.0,3180.0,3571.0,3889.0,4395.0,4832.0,5306.0,5656.0,5906.0,6113.0,6278.0,6406.0,6502.0,6541.0,6529.0,6523.0,6499.0,6410.0,6267.0,6109.0,5951.0,5722.0,5536.0,5278.0,4972.0,4662.0,4379.0,4090.0
6,2143.0,2143.0,2595.0,2922.0,3283.0,3648.0,3946.0,4177.0,4639.0,5141.0,5513.0,5799.0,6034.0,6224.0,6375.0,6492.0,6551.0,6559.0,6572.0,6569.0,6499.0,6379.0,6240.0,6099.0,5886.0,5715.0,5471.0,5193.0,4902.0,4635.0,4371.0
7,2202.0,2202.0,2639.0,2952.0,3302.0,3640.0,3926.0,4150.0,4424.0,4959.0,5351.0,5659.0,5918.0,6125.0,6304.0,6444.0,6518.0,6561.0,6588.0,6602.0,6553.0,6454.0,6335.0,6208.0,6010.0,5850.0,5630.0,5372.0,5107.0,4858.0,4607.0
8,2300.0,2300.0,2712.0,3007.0,3338.0,3660.0,3930.0,4142.0,4400.0,4687.0,5107.0,5450.0,5735.0,5973.0,6183.0,6345.0,6454.0,6528.0,6581.0,6618.0,6591.0,6524.0,6439.0,6330.0,6152.0,6014.0,5811.0,5572.0,5327.0,5092.0,4860.0
9,2367.0,2367.0,2742.0,3020.0,3339.0,3634.0,3885.0,4085.0,4330.0,4600.0,4833.0,5211.0,5531.0,5792.0,6027.0,6219.0,6348.0,6437.0,6511.0,6556.0,6543.0,6503.0,6436.0,6351.0,6197.0,6072.0,5884.0,5662.0,5435.0,5209.0,4994.0
10,2438.0,2438.0,2797.0,3057.0,3355.0,3627.0,3864.0,4041.0,4271.0,4519.0,4732.0,4915.0,5254.0,5544.0,5805.0,6013.0,6163.0,6267.0,6363.0,6428.0,6439.0,6420.0,6364.0,6295.0,6158.0,6049.0,5891.0,5686.0,5473.0,5271.0,5067.0
11,2471.0,2471.0,2806.0,3054.0,3334.0,3595.0,3815.0,3974.0,4187.0,4416.0,4614.0,4791.0,4958.0,5268.0,5555.0,5780.0,5947.0,6079.0,6187.0,6273.0,6300.0,6300.0,6263.0,6209.0,6093.0,6001.0,5864.0,5675.0,5476.0,5290.0,5101.0
12,2495.0,2495.0,2812.0,3050.0,3303.0,3541.0,3750.0,3897.0,4096.0,4304.0,4490.0,4652.0,4809.0,4948.0,5256.0,5497.0,5681.0,5833.0,5957.0,6062.0,6110.0,6130.0,6105.0,6068.0,5970.0,5894.0,5777.0,5610.0,5427.0,5254.0,5078.0
13,2499.0,2499.0,2794.0,3012.0,3249.0,3474.0,3668.0,3804.0,3985.0,4177.0,4348.0,4496.0,4642.0,4771.0,4902.0,5167.0,5377.0,5549.0,5688.0,5809.0,5869.0,5907.0,5907.0,5890.0,5807.0,5748.0,5641.0,5500.0,5338.0,5187.0,5026.0
14,2467.0,2467.0,2739.0,2939.0,3161.0,3370.0,3547.0,3674.0,3840.0,4019.0,4175.0,4315.0,4453.0,4575.0,4694.0,4820.0,5045.0,5236.0,5392.0,5526.0,5609.0,5660.0,5687.0,5685.0,5622.0,5579.0,5491.0,5368.0,5225.0,5082.0,4933.0
15,2362.0,2362.0,2613.0,2805.0,3010.0,3203.0,3372.0,3492.0,3651.0,3814.0,3958.0,4086.0,4216.0,4334.0,4441.0,4563.0,4681.0,4893.0,5063.0,5209.0,5310.0,5379.0,5429.0,5440.0,5392.0,5364.0,5286.0,5179.0,5057.0,4927.0,4785.0
16,2271.0,2271.0,2490.0,2666.0,2857.0,3035.0,3186.0,3298.0,3435.0,3589.0,3722.0,3845.0,3965.0,4071.0,4171.0,4279.0,4387.0,4486.0,4674.0,4838.0,4958.0,5047.0,5114.0,5132.0,5102.0,5088.0,5026.0,4935.0,4825.0,4707.0,4576.0
17,2197.0,2197.0,2402.0,2568.0,2745.0,2907.0,3047.0,3153.0,3281.0,3426.0,3546.0,3658.0,3769.0,3869.0,3965.0,4063.0,4161.0,4250.0,4324.0,4509.0,4645.0,4751.0,4836.0,4870.0,4854.0,4847.0,4796.0,4720.0,4627.0,4525.0,4407.0
18,2139.0,2139.0,2324.0,2476.0,2638.0,2790.0,2921.0,3016.0,3132.0,3266.0,3383.0,3487.0,3587.0,3674.0,3761.0,3854.0,3947.0,4029.0,4096.0,4176.0,4331.0,4451.0,4550.0,4599.0,4608.0,4621.0,4589.0,4526.0,4439.0,4349.0,4249.0
19,1999.0,1999.0,2164.0,2305.0,2448.0,2584.0,2707.0,2795.0,2899.0,3019.0,3127.0,3217.0,3309.0,3388.0,3469.0,3551.0,3638.0,3712.0,3773.0,3844.0,3926.0,4062.0,4176.0,4238.0,4263.0,4289.0,4269.0,4226.0,4151.0,4076.0,3988.0
20,1823.0,1823.0,1977.0,2105.0,2233.0,2348.0,2464.0,2539.0,2633.0,2736.0,2828.0,2912.0,2998.0,3068.0,3145.0,3223.0,3299.0,3365.0,3420.0,3486.0,3562.0,3640.0,3774.0,3847.0,3890.0,3926.0,3922.0,3899.0,3843.0,3778.0,3695.0
21,1647.0,1647.0,1781.0,1893.0,2015.0,2114.0,2219.0,2287.0,2369.0,2454.0,2533.0,2614.0,2691.0,2761.0,2827.0,2889.0,2955.0,3015.0,3058.0,3115.0,3185.0,3253.0,3328.0,3425.0,3491.0,3535.0,3549.0,3539.0,3496.0,3439.0,3371.0
22,1503.0,1503.0,1621.0,1720.0,1829.0,1914.0,2005.0,2066.0,2142.0,2215.0,2283.0,2355.0,2423.0,2484.0,2540.0,2595.0,2652.0,2709.0,2745.0,2797.0,2859.0,2922.0,2985.0,3037.0,3115.0,3171.0,3198.0,3200.0,3171.0,3129.0,3072.0
23,1331.0,1331.0,1437.0,1519.0,1615.0,1695.0,1776.0,1828.0,1893.0,1956.0,2011.0,2071.0,2129.0,2181.0,2230.0,2277.0,2327.0,2375.0,2407.0,2447.0,2500.0,2550.0,2600.0,2646.0,2682.0,2750.0,2791.0,2804.0,2789.0,2757.0,2712.0
24,1150.0,1150.0,1242.0,1311.0,1396.0,1466.0,1534.0,1582.0,1642.0,1695.0,1742.0,1798.0,1846.0,1892.0,1932.0,1975.0,2018.0,2058.0,2089.0,2119.0,2169.0,2213.0,2256.0,2297.0,2328.0,2369.0,2423.0,2450.0,2451.0,2429.0,2396.0
25,939.0,939.0,1008.0,1066.0,1133.0,1189.0,1243.0,1286.0,1330.0,1374.0,1419.0,1462.0,1501.0,1535.0,1571.0,1602.0,1643.0,1672.0,1699.0,1723.0,1765.0,1801.0,1834.0,1868.0,1894.0,1928.0,1954.0,1991.0,2006.0,2001.0,1977.0
26,709.0,709.0,755.0,800.0,857.0,901.0,942.0,972.0,1006.0,1043.0,1079.0,1113.0,1143.0,1171.0,1199.0,1222.0,1250.0,1275.0,1300.0,1319.0,1347.0,1370.0,1398.0,1428.0,1450.0,1477.0,1501.0,1523.0,1548.0,1553.0,1539.0
27,522.0,522.0,554.0,588.0,626.0,657.0,687.0,709.0,728.0,753.0,777.0,804.0,821.0,842.0,860.0,872.0,887.0,908.0,921.0,937.0,957.0,969.0,989.0,1011.0,1025.0,1042.0,1057.0,1075.0,1086.0,1101.0,1096.0
28,298.0,298.0,316.0,339.0,368.0,390.0,406.0,423.0,436.0,454.0,474.0,486.0,498.0,511.0,520.0,529.0,540.0,554.0,565.0,578.0,592.0,598.0,612.0,627.0,637.0,646.0,655.0,667.0,674.0,685.0,688.0
29,114.0,114.0,124.0,133.0,143.0,152.0,156.0,161.0,166.0,174.0,182.0,188.0,192.0,199.0,200.0,205.0,211.0,221.0,222.0,227.0,235.0,240.0,246.0,252.0,256.0,258.0,260.0,264.0,267.0,272.0,273.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
