,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,,,78.03,78.09,77.22,76.66,75.91,76.32,76.06,76.36,76.33,76.15,76.32,76.58,76.87,77.22,77.33,77.95,77.87,78.07,78.86,79.56,80.08,80.7,81.13,81.38,81.78,81.68,83.52,84.67,86.81
1,82.04,82.04,78.03,77.64,76.56,75.87,75.13,75.57,75.39,75.59,75.41,75.27,75.47,75.8,76.12,76.43,76.55,77.02,77.05,77.28,77.9,78.41,78.82,79.27,79.56,79.68,79.92,79.66,80.21,80.06,79.28
2,82.69,82.69,79.95,78.09,76.61,75.76,74.97,75.33,75.18,75.25,75.06,74.99,75.13,75.44,75.67,75.94,76.02,76.48,76.52,76.82,77.36,77.8,78.11,78.47,78.79,78.92,79.15,79.04,79.41,79.26,78.78
3,82.67,82.67,80.74,79.34,77.22,75.78,74.85,75.05,74.94,75.0,74.71,74.53,74.64,74.9,75.07,75.35,75.48,75.87,75.84,76.14,76.61,76.96,77.21,77.51,77.76,77.85,78.03,77.91,78.2,78.04,77.69
4,82.09,82.09,80.96,79.88,78.28,76.66,75.2,75.2,74.72,74.58,74.22,73.96,74.05,74.34,74.45,74.73,74.84,75.22,75.24,75.56,75.98,76.29,76.45,76.77,77.02,77.12,77.29,77.13,77.4,77.25,76.99
5,81.19,81.19,80.55,79.69,78.4,77.18,75.91,75.54,74.81,74.46,73.96,73.67,73.71,73.97,74.01,74.28,74.42,74.79,74.72,74.95,75.32,75.63,75.77,76.07,76.23,76.32,76.56,76.35,76.6,76.48,76.23
6,81.24,81.24,80.66,79.95,78.89,77.91,76.81,76.32,75.32,74.89,74.26,73.87,73.9,74.16,74.2,74.43,74.55,74.87,74.77,74.99,75.37,75.65,75.8,76.11,76.27,76.34,76.62,76.45,76.78,76.74,76.57
7,81.43,81.43,80.83,80.22,79.19,78.52,77.51,77.06,76.06,75.3,74.57,74.09,74.03,74.24,74.18,74.36,74.41,74.67,74.54,74.72,75.1,75.35,75.49,75.77,75.92,76.0,76.29,76.14,76.48,76.47,76.3
8,82.09,82.09,81.67,81.21,80.11,79.54,78.68,78.2,77.34,76.36,75.41,74.79,74.63,74.72,74.54,74.7,74.65,74.82,74.7,74.86,75.19,75.37,75.49,75.8,76.01,76.07,76.36,76.26,76.61,76.65,76.54
9,82.17,82.17,82.13,81.69,80.65,80.19,79.51,79.07,78.18,77.24,76.33,75.4,75.01,74.98,74.76,74.74,74.62,74.77,74.63,74.79,75.09,75.2,75.31,75.61,75.79,75.84,76.14,76.07,76.43,76.5,76.47
10,81.26,81.26,81.44,81.09,80.33,80.07,79.5,79.14,78.34,77.52,76.78,76.15,75.54,75.4,75.04,74.94,74.79,74.84,74.68,74.74,75.01,75.11,75.19,75.46,75.58,75.62,75.93,75.89,76.21,76.29,76.26
