GAME_ID,Average_1,Average_X,Average_2,Highest_1,Highest_X,Highest_2,Average_H,Average_A,Highest_H,Highest_A,Average_1X,Average_12,Average_X2,Highest_1X,Highest_12,Highest_X2
0042400407,1.4357142857142857,16.5,3.164285714285714,1.48,19.0,3.3,1.392,3.067,1.43,3.25,1.31,1.03,3.0,1.31,1.03,3.0
0042400406,2.915714285714286,15.142857142857142,1.5014285714285713,3.0,17.0,1.55,2.792,1.452,2.86,1.48,2.4,1.03,1.48,2.4,1.03,1.48
0042400405,1.2771428571428571,16.714285714285715,4.2785714285714285,1.3,19.0,4.4,1.252,4.038,1.3,4.3,1.26,1.03,3.25,1.26,1.03,3.25
0042400404,3.0428571428571427,15.357142857142858,1.47,3.1,17.0,1.5,2.91,1.4289999999999998,3.0,1.45,2.7,1.03,1.36,2.7,1.03,1.36
0042400403,2.907142857142857,14.714285714285714,1.4957142857142858,3.0,17.0,1.53,2.826,1.4489999999999998,2.9,1.48,2.5,1.03,1.44,2.5,1.03,1.44
0042400402,1.19,19.071428571428573,5.328571428571428,1.2,21.0,5.6,1.17,5.185,1.18,5.5,1.15,1.02,4.5,1.15,1.02,4.5
0042400401,1.2285714285714286,17.714285714285715,4.764285714285714,1.24,19.0,4.9,1.2069999999999999,4.626,1.22,5.0,1.29,1.03,3.1,1.29,1.03,3.1
0042400306,1.5971428571428572,14.785714285714286,2.6014285714285714,1.64,17.0,2.75,1.5544444444444445,2.5044444444444443,1.59,2.55,,,,,,
0042400305,1.602857142857143,15.071428571428571,2.5885714285714285,1.64,17.0,2.65,1.5566666666666666,2.493333333333333,1.58,2.55,,,,,,
0042400315,1.2914285714285714,16.214285714285715,4.128571428571429,1.33,17.5,4.25,1.258888888888889,3.9944444444444445,1.29,4.2,,,,,,
0042400304,1.7085714285714286,14.142857142857142,2.357142857142857,1.72,15.0,2.4,1.6488888888888888,2.2733333333333334,1.67,2.3,,,,,,
0042400314,2.394285714285714,14.285714285714286,1.7028571428571428,2.43,16.0,1.75,2.2977777777777777,1.6455555555555554,2.35,1.67,,,,,,
0042400303,1.9085714285714286,13.571428571428571,2.09,1.94,15.0,2.12,1.8266666666666667,2.0077777777777777,1.84,2.03,,,,,,
0042400313,2.3242857142857143,13.785714285714286,1.737142857142857,2.45,15.0,1.77,2.2399999999999998,1.6688888888888889,2.3,1.69,,,,,,
0042400302,1.4457142857142857,14.857142857142858,3.142857142857143,1.46,17.0,3.2,1.4077777777777778,2.9833333333333334,1.42,3.05,,,,,,
0042400312,1.3314285714285714,16.071428571428573,3.807142857142857,1.36,17.0,3.9,1.298888888888889,3.65,1.31,3.75,,,,,,
0042400301,1.5914285714285714,15.071428571428571,2.6142857142857143,1.61,17.0,2.64,1.547777777777778,2.5322222222222224,1.57,2.6,,,,,,
0042400311,1.397142857142857,15.714285714285714,3.335714285714286,1.41,17.0,3.4,1.3544444444444446,3.227777777777778,1.38,3.4,,,,,,
0042400227,1.3442857142857143,16.571428571428573,3.685714285714286,1.36,19.0,3.75,1.3044444444444445,3.588888888888889,1.32,3.7,,,,,,
0042400216,1.7557142857142858,14.428571428571429,2.2928571428571427,1.8,17.0,2.35,1.6833333333333333,2.2244444444444444,1.72,2.3,,,,,,
0042400226,2.7285714285714286,15.357142857142858,1.5457142857142858,2.8,19.0,1.58,2.6277777777777778,1.498888888888889,2.7,1.51,,,,,,
0042400235,1.262857142857143,17.5,4.44,1.29,19.0,4.7,1.232222222222222,4.294444444444444,1.25,4.55,,,,,,
0042400215,1.5314285714285714,15.642857142857142,2.755714285714286,1.56,19.0,2.8,1.498888888888889,2.6566666666666667,1.52,2.7,,,,,,
0042400225,1.2442857142857142,17.714285714285715,4.542857142857143,1.26,19.0,4.75,1.2233333333333334,4.392222222222222,1.24,4.5,,,,,,
0042400205,1.3257142857142858,16.5,3.8285714285714287,1.36,19.0,4.0,1.29,3.6833333333333336,1.3,3.85,,,,,,
0042400234,2.69,15.0,1.5614285714285714,2.73,17.0,1.58,2.6144444444444446,1.5155555555555555,2.7,1.54,,,,,,
0042400214,3.0642857142857145,14.714285714285714,1.47,3.2,17.0,1.5,2.944444444444444,1.4244444444444444,3.05,1.45,,,,,,
0042400204,2.914285714285714,14.428571428571429,1.497142857142857,3.0,15.0,1.5,2.807777777777778,1.4533333333333334,2.9,1.48,,,,,,
0042400224,3.314285714285714,15.928571428571429,1.407142857142857,3.4,17.0,1.45,3.2111111111111112,1.3688888888888888,3.3,1.39,,,,,,
0042400233,3.0571428571428574,15.071428571428571,1.4714285714285713,3.2,17.0,1.5,2.944444444444444,1.421111111111111,3.05,1.44,,,,,,
